path	partition	weak_label	pred_binary	pred_label	confidence	bbox
/truenas-big/images/b4/9a/b49a8ac8756ec02aeafebcbeb930b7d79b7c2f76bc9f68470e23780ad7bf28e1.PNG	videoufo	clean	clean	clean	0.9994164828887014	
/truenas-big/images/f8/e4/f8e4c120505fb00e5246f2f8e48ac9dff2a4b7e16e0a7aae15f4a96741ea2ba6.PNG	videoufo	clean	clean	clean	0.9999984908720398	
/truenas-big/images/e6/b2/e6b2aabe86c8cd680ce174c89bd48d78e216756bc534271f4423c98092f1ab8d.PNG	videoufo	clean	clean	clean	0.9999962362673394	
/truenas-big/images/cd/46/cd465c4d639a7d19e2be71676f69376c13deb0d2c89f8587294214ef362a81e6.PNG	videoufo	clean	watermarked	text_tpdne	0.017804868287880773	
/truenas-big/images/73/37/7337d637a58a29a35c1da38d3416f396d650958471277af3d84fae17e95ef4d4.PNG	videoufo	clean	clean	clean	0.9977556119964021	
/truenas-big/images/71/96/71966fc05df571cdac2060277593f9881ee06f167d1381492ba9fde4c5b9d7bf.PNG	videoufo	clean	clean	clean	0.9999986502968177	
/truenas-big/images/28/e5/28e52ecc0268aafae0e4f3f9fef1f8d51e27cd49b1ae48478c89c5c6295a9d42.PNG	videoufo	clean	clean	clean	0.9649431532934558	
/truenas-big/images/9e/ac/9eac59c0277ce70c44aa4c4acf57b5657f800ec00ca6940af267761b3d1f80aa.PNG	videoufo	clean	clean	clean	0.9992185801490042	
/truenas-big/images/dd/0f/dd0f8228412fdef45ef7d64c38db13fe1b69c2cfe641a5418a6e55ac683387dd.PNG	videoufo	clean	clean	clean	0.9756443406887618	
/truenas-big/images/bd/f0/bdf05d26c3ab94eec01e1df0dc5c027aa2801b5c36689454e98ac9c57c746bf3.PNG	videoufo	clean	clean	clean	0.9999629912373529	
/truenas-big/images/02/f8/02f8c0aacad9ddc23ead89e614647f2c8634a587defea42e8b20f9b494da3575.PNG	videoufo	clean	watermarked	grok	0.6653239374281097	
/truenas-big/images/2e/2e/2e2e06b421bada02e345b6d193963ed83d6705b14a5ea95b1cb314e128d8c976.PNG	videoufo	clean	clean	clean	0.9427839483309212	[589, 320, 640, 354]
