path	partition	weak_label	original_filename	is_frame
/truenas-big/images/b4/9a/b49a8ac8756ec02aeafebcbeb930b7d79b7c2f76bc9f68470e23780ad7bf28e1.PNG	videoufo	clean		True
/truenas-big/images/f8/e4/f8e4c120505fb00e5246f2f8e48ac9dff2a4b7e16e0a7aae15f4a96741ea2ba6.PNG	videoufo	clean		True
/truenas-big/images/e6/b2/e6b2aabe86c8cd680ce174c89bd48d78e216756bc534271f4423c98092f1ab8d.PNG	videoufo	clean		True
/truenas-big/images/cd/46/cd465c4d639a7d19e2be71676f69376c13deb0d2c89f8587294214ef362a81e6.PNG	videoufo	clean		True
/truenas-big/images/73/37/7337d637a58a29a35c1da38d3416f396d650958471277af3d84fae17e95ef4d4.PNG	videoufo	clean		True
/truenas-big/images/71/96/71966fc05df571cdac2060277593f9881ee06f167d1381492ba9fde4c5b9d7bf.PNG	videoufo	clean		True
/truenas-big/images/28/e5/28e52ecc0268aafae0e4f3f9fef1f8d51e27cd49b1ae48478c89c5c6295a9d42.PNG	videoufo	clean		True
/truenas-big/images/9e/ac/9eac59c0277ce70c44aa4c4acf57b5657f800ec00ca6940af267761b3d1f80aa.PNG	videoufo	clean		True
/truenas-big/images/dd/0f/dd0f8228412fdef45ef7d64c38db13fe1b69c2cfe641a5418a6e55ac683387dd.PNG	videoufo	clean		True
/truenas-big/images/bd/f0/bdf05d26c3ab94eec01e1df0dc5c027aa2801b5c36689454e98ac9c57c746bf3.PNG	videoufo	clean		True
/truenas-big/images/02/f8/02f8c0aacad9ddc23ead89e614647f2c8634a587defea42e8b20f9b494da3575.PNG	videoufo	clean		True
/truenas-big/images/2e/2e/2e2e06b421bada02e345b6d193963ed83d6705b14a5ea95b1cb314e128d8c976.PNG	videoufo	clean		True
/truenas-big/images/b7/f7/b7f7d74e3947e787dfc8e84aa693d2b6dbade46a83cdcb28b9d08d3cb605a47c.PNG	videoufo	clean		True
/truenas-big/images/ad/56/ad56fffc07957d4c6003cb82e8e8117bc60c2da2065754a18db79b1c7d11d805.PNG	videoufo	clean		True
/truenas-big/images/25/83/2583026e0976ebb39a19e56ec870d46dd9f88689356cba3ce26c99494203b53b.PNG	videoufo	clean		True
/truenas-big/images/e6/47/e647d42313afe2bd3d53e701c3085011729e1e83fd56f9d76e24539fd0df67cc.PNG	videoufo	clean		True
/truenas-big/images/b8/4d/b84d31bfd112bfff0a4bd0296555bb246dbe3a0689a2c9a41c96abff52277919.PNG	videoufo	clean		True
/truenas-big/images/8c/d8/8cd811c5d9ac31ee924411e3f3cfc7f229887a84bda439bb2a8a2a4637e94596.PNG	videoufo	clean		True
/truenas-big/images/54/f9/54f98e403024bacb36cf3078b0a67d78580d2b536943c921768939c02d8968b2.PNG	videoufo	clean		True
/truenas-big/images/df/90/df901438428213377d792cd70e87614d7b3d3bbcfb618b3f960a4fad58229f16.PNG	videoufo	clean		True
/truenas-big/images/0e/dc/0edcf7f8f56b09308709059a57eb52c14e63afbd2781f527eac346d5b0d429ba.PNG	videoufo	clean		True
/truenas-big/images/2d/10/2d10e6600d60e8cefad37a973ad2b12f358a1ed317e3df23844742bc72a889ac.PNG	videoufo	clean		True
/truenas-big/images/f8/84/f884bb7a0dd2ef9bd7732518ece099b59cca284864038e9bcf6379450876c851.PNG	videoufo	clean		True
/truenas-big/images/02/32/02321bc58204699866373cf81f90ffeeafe3d346f352cd9d812b548203911435.PNG	videoufo	clean		True
/truenas-big/images/fc/4b/fc4b7316b04d60c7408df4d4e64d0cce71f01c22fe645fcb95eb0ff253e2e84a.PNG	videoufo	clean		True
/truenas-big/images/e7/7f/e77fa3f7115fc341ef0bffa3767a9c0de552fe8907ed9af832e015eb4925ea79.PNG	videoufo	clean		True
/truenas-big/images/f5/30/f530f2bbece4585db8c3c14f4957017f4d1ef30cf983cdd2e235065d0a814002.PNG	videoufo	clean		True
/truenas-big/images/c1/b0/c1b00cd1d8b68510af8c02faf8b858b07a3bda57e556f2b3f7c0e38c33002445.PNG	videoufo	clean		True
/truenas-big/images/f4/56/f456dc2a4382bbbd397f87a602332ac56389b41eb8c65e07c93e5ad57aea4b2d.PNG	videoufo	clean		True
/truenas-big/images/6b/12/6b127dd757f3e39e4f3ba2c7f854cc72d1a01827efc236b7b2588f8be9323ff8.PNG	videoufo	clean		True
/truenas-big/images/d3/b9/d3b95fc406725b9fae13f0db614d342fda2bdbec42730eff46cd1aaaa60aa61b.PNG	videoufo	clean		True
/truenas-big/images/8c/70/8c701fcd72077889bba5a2cdcded76106c9d13000cb4b60d4f2984d466faf3d5.PNG	videoufo	clean		True
/truenas-big/images/33/e1/33e1e87fc7835751e88471195a4d00c08e34d5f40be8a51ef44ba1b42b1cef56.PNG	videoufo	clean		True
/truenas-big/images/a4/67/a467d9ea19b4e5363dfda5b754552d04344e79687ab87112459ca3891a47c011.PNG	videoufo	clean		True
/truenas-big/images/ee/2c/ee2c092ff34fb2978eb237e3afaccb003fd180fde27e4f0e80d332696fc0e42c.PNG	videoufo	clean		True
/truenas-big/images/ab/6f/ab6f7425f28c57e57ed92c75b155deab1cd2ebd756bcd0e04ec3f4e0098db5ee.PNG	videoufo	clean		True
/truenas-big/images/f9/53/f953b025147be6a2f85bda4eba91b23bbf8b38ab4a524060c663a584881a82d1.PNG	videoufo	clean		True
/truenas-big/images/c9/8d/c98ddd78b63f2e0730da433e827cbd83fbd6794158e44edc7f1a93ce77b00afb.PNG	videoufo	clean		True
/truenas-big/images/b5/2d/b52d5432ab8a2972135a05dfb72f26179837b97a60d6e90a00cf5926e69b1203.PNG	videoufo	clean		True
/truenas-big/images/ce/67/ce67f54d2ba380f145eda57953f62bc7dd8d1234b55d0a87bdb664dc298809f8.PNG	videoufo	clean		True
/truenas-big/images/7a/7d/7a7dfebf7e167e86b635da99ef485d9c01b231413002f9b0dc5f44babdaeab2a.PNG	videoufo	clean		True
/truenas-big/images/50/a4/50a4ccdc586a3fcced93bfbfd8403be2ca4dbebfeb45b9afd7ab3fe35dc7f721.PNG	videoufo	clean		True
/truenas-big/images/98/85/98859d0e417bae06e27a1bf38e8cd5dd651ce71af64a8d6e02bef08447048a90.PNG	videoufo	clean		True
/truenas-big/images/96/3a/963aff7295b5c3cdd5e81fc83ffa36b028377b9ddfb6669826e6781e0274130b.PNG	videoufo	clean		True
/truenas-big/images/c0/fc/c0fca2b0a023ec8b35571f23b4f01aca3cb2a12ed11c969767014a76afe62732.PNG	videoufo	clean		True
/truenas-big/images/6c/d9/6cd95082782ab2efc9b0397324749d11ca4c90d70054b6ffe2c8e57a99c3ad5a.PNG	videoufo	clean		True
/truenas-big/images/2e/3f/2e3f3d163692a02b99764fb0b411b039b495c402d8b0412334024ac6b6504bbd.PNG	videoufo	clean		True
